xorg-x11-drv-openchrome-0.5.0-3,  xorg-x11-drv-openchrome,  0.5.0-3
gtk2-2.24.31-1,  gtk2,  2.24.31-1
ipset-6.29-1,  ipset,  6.29-1
adwaita-gtk2-theme-3.22.2-2.el7_5,  adwaita-gtk2-theme,  3.22.2-2.el7_5
xml-common-0.6.3-39,  xml-common,  0.6.3-39
poppler-data-0.4.6-3,  poppler-data,  0.4.6-3
liboauth-0.9.7-4,  liboauth,  0.9.7-4
make-3.82-23,  make,  3.82-23
tcp_wrappers-7.6-77,  tcp_wrappers,  7.6-77
cdparanoia-libs-10.2-17,  cdparanoia-libs,  10.2-17
keyutils-1.5.8-3,  keyutils,  1.5.8-3
libobjc-4.8.5-28.el7_5.1,  libobjc,  4.8.5-28.el7_5.1
trousers-0.3.14-2,  trousers,  0.3.14-2
libedit-3.0-12.20121213cvs,  libedit,  3.0-12.20121213cvs
environment-modules-3.2.10-10,  environment-modules,  3.2.10-10
libicu-50.1.2-15,  libicu,  50.1.2-15
telnet-0.17-64,  telnet,  0.17-64
adwaita-icon-theme-3.26.0-1,  adwaita-icon-theme,  3.26.0-1
snappy-1.1.0-3,  snappy,  1.1.0-3
perl-HTTP-Tiny-0.033-3,  perl-HTTP-Tiny,  0.033-3
perl-Pod-Perldoc-3.20-4,  perl-Pod-Perldoc,  3.20-4
perl-Text-ParseWords-3.29-4,  perl-Text-ParseWords,  3.29-4
dmidecode-3.0-5,  dmidecode,  3.0-5
perl-Pod-Usage-1.63-3,  perl-Pod-Usage,  1.63-3
p11-kit-trust-0.23.5-3,  p11-kit-trust,  0.23.5-3
perl-libs-5.16.3-292,  perl-libs,  5.16.3-292
perl-Exporter-5.68-3,  perl-Exporter,  5.68-3
perl-Time-Local-1.2300-2,  perl-Time-Local,  1.2300-2
perl-Carp-1.26-244,  perl-Carp,  1.26-244
perl-Scalar-List-Utils-1.27-248,  perl-Scalar-List-Utils,  1.27-248
python-iniparse-0.4-9,  python-iniparse,  0.4-9
perl-File-Path-2.09-2,  perl-File-Path,  2.09-2
cracklib-2.9.0-11,  cracklib,  2.9.0-11
newt-python-0.52.15-4,  newt-python,  0.52.15-4
gobject-introspection-1.50.0-1,  gobject-introspection,  1.50.0-1
dbus-glib-0.100-7,  dbus-glib,  0.100-7
cracklib-dicts-2.9.0-11,  cracklib-dicts,  2.9.0-11
m2crypto-0.21.1-17,  m2crypto,  0.21.1-17
gettext-libs-0.19.8.1-2,  gettext-libs-0,  19.8.1-2
pkgconfig-0.27.1-4,  pkgconfig,  0.27.1-4
python-gudev-147.2-7,  python-gudev,  147.2-7
grubby-8.28-23,  grubby,  8.28-23
pyliblzma-0.5.3-11,  pyliblzma,  0.5.3-11
pyOpenSSL-0.13.1-3,  pyOpenSSL,  0.13.1-3
python-magic-5.11-33,  python-magic,  5.11-33
libssh2-1.4.3-10.el7_2.1,  libssh2,  1.4.3-10.el7_2.1
fipscheck-lib-1.4.1-6,  fipscheck-lib,  1.4.1-6
libfontenc-1.1.3-3,  libfontenc,  1.1.3-3
rsyslog-8.24.0-16.el7_5.4,  rsyslog,  8.24.0-16.el7_5.4
mariadb-libs-5.5.56-2,  mariadb-libs,  5.5.56-2
pixman-0.34.0-1,  pixman,  0.34.0-1
glibc-2.17-222,  glibc,  2.17-222
libxcb-1.12-1,  libxcb,  1.12-1
krb5-libs-1.15.1-19,  krb5-libs,  1.15.1-19
libevdev-1.5.6-1,  libevdev,  1.5.6-1
libdhash-0.5.0-29,  libdhash,  0.5.0-29
libICE-1.0.9-9,  libICE,  1.0.9-9
libXfont2-2.0.1-2,  libXfont2,  2.0.1-2
ttmkfdir-3.0.9-42,  ttmkfdir,  3.0.9-42
libepoxy-1.3.1-2.el7_5,  libepoxy,  1.3.1-2.el7_5
passwd-0.79-4,  passwd,  0.79-4
mtdev-1.1.5-5,  mtdev,  1.1.5-5
python-urlgrabber-3.10-8,  python-urlgrabber,  3.10-8
fontconfig-2.10.95-11,  fontconfig,  2.10.95-11
xcb-util-wm-0.4.1-5,  xcb-util-wm,  0.4.1-5
xcb-util-renderutil-0.3.9-3,  xcb-util-renderutil,  0.3.9-3
xorg-x11-font-utils-7.5-20,  xorg-x11-font-utils,  7.5-20
pygpgme-0.3-9,  pygpgme,  0.3-9
llvm-private-5.0.0-3,  llvm-private,  5.0.0-3
libwayland-client-1.14.0-2,  libwayland-client,  1.14.0-2
redhat-support-lib-python-0.9.7-6,  redhat-support-lib-python,  0.9.7-6
libX11-common-1.6.5-1,  libX11-common,  1.6.5-1
qrencode-libs-3.4.1-3,  qrencode-libs,  3.4.1-3
libXext-1.3.3-3,  libXext,  1.3.3-3
libXi-1.7.9-1,  libXi,  1.7.9-1
libXxf86vm-1.1.4-1,  libXxf86vm,  1.1.4-1
ustr-1.0.4-16,  ustr,  1.0.4-16
